IMAGE F Q FRC E QS
28096.jpg -0.0153351 -0.0154063 -0.0143087 -0.0152129 0.499005 
281017.jpg 0.033812 -0.00983605 0.0894695 0.0580764 0.592716 
285022.jpg 0.237991 -0.212516 0.332955 0.329994 0.639986 
285036.jpg 0.0675477 0.0274309 0.0133393 0.0535837 0.51311 
285079.jpg 0.171229 0.134236 -0.164101 0.191932 0.687803 
286092.jpg 0.0804676 -0.0792945 0.0773054 0.0723119 0.831188 
288024.jpg 0.24877 0.248054 0.2444 0.21482 0.831377 
289011.jpg 0.155955 0.162281 -0.0877774 0.12497 0.614417 
290035.jpg 0.104273 0.00943681 0.216397 0.139608 0.700916 
29030.jpg 0.227449 0.219313 0.171348 0.270105 0.91959 
291000.jpg -0.0843221 -0.0800355 0.0277693 -0.0926882 0.566732 
292066.jpg 0.0291659 0.0258809 0.102065 0.04284 0.93799 
293029.jpg 0.200297 0.191534 0.0575282 0.226643 0.817843 
295087.jpg -0.0867694 -0.0982565 0.107369 -0.0781008 0.712039 
296007.jpg -0.0467495 -0.0958158 0.107678 -0.0598957 0.692671 
296028.jpg -0.193876 -0.193405 -0.194076 -0.194039 0.978295 
296058.jpg 0.0456669 0.0655885 0.0672777 0.0627023 0.77951 
296059.jpg 0.189203 0.169598 -0.140174 0.188344 0.763397 
299086.jpg -0.0167637 -0.0139909 -0.000339866 -0.0194707 0.872654 
299091.jpg -0.0570737 -0.143562 0.0337269 -0.0208542 0.562317 
300091.jpg -0.00696514 -0.0191358 -0.00824581 -0.00123389 0.68359 
301007.jpg 0.174381 0.174165 0.0989843 0.251432 0.951189 
302003.jpg 0.0623323 0.151881 -0.0644667 -0.141222 0.530403 
302008.jpg -0.239842 -0.219707 -0.111443 -0.252209 0.697929 
302022.jpg 0.346428 0.295914 0.350907 0.352407 0.833353 
304034.jpg 0.301284 0.298883 0.0464991 0.33525 0.853319 
304074.jpg -0.0763161 -0.0770474 -0.0153312 -0.0924751 0.912776 
306005.jpg 0.106906 0.0949445 0.00216652 0.105878 0.841673 
306051.jpg 0.191372 0.202478 -0.212974 0.213827 0.863211 
306052.jpg 0.0732243 0.114064 -0.11113 -0.118204 0.910499 
3063.jpg -0.239072 -0.184949 0.1433 -0.239731 0.643952 
309004.jpg 0.000625979 0.00304367 0.0018991 -0.00711851 0.65877 
309040.jpg 0.144208 0.191931 0.191747 0.170601 0.725606 
3096.jpg -0.00266746 -0.00297099 0.0048654 -0.00498311 0.598132 
310007.jpg -0.143348 -0.14159 0.121919 -0.143756 0.714233 
311068.jpg 0.141019 0.142248 -0.139823 0.105749 0.574712 
311081.jpg 0.415635 0.411775 -0.182767 0.418746 0.706563 
314016.jpg 0.264702 -0.0429616 0.309483 0.406823 0.69215 
317043.jpg -0.125733 -0.116352 0.0310015 -0.131695 0.638604 
317080.jpg 0.421051 0.427374 -0.409015 0.429529 0.920712 
323016.jpg 0.139639 0.0471342 0.145117 0.151133 0.699846 
326025.jpg 0.0941958 0.0772269 0.127082 0.114469 0.89583 
326038.jpg -0.187018 -0.187394 0.154947 -0.187209 0.981433 
326085.jpg 0.0516355 0.081757 -0.041668 -0.0420793 0.541407 
33039.jpg 0.314644 0.324553 0.326954 0.319883 0.619015 
33044.jpg 0.283099 0.279217 -0.289154 0.289214 0.863827 
33066.jpg -0.0256086 -0.0182882 0.0157271 -0.0237196 0.659029 
334025.jpg -0.0851842 -0.0966175 0.0905799 -0.0685013 0.632456 
335088.jpg 0.136753 0.149634 0.187538 0.155753 0.741814 
335094.jpg 0.0970536 0.088338 -0.0666907 0.138635 0.902801 
344010.jpg 0.148469 0.117155 -0.213307 0.185611 0.932882 
346016.jpg 0.0913469 0.108062 0.140625 0.137844 0.696196 
347031.jpg 0.116698 0.112928 -0.105229 -0.118752 0.624344 
35008.jpg 0.168399 0.182048 -0.171947 0.183201 0.747192 
35010.jpg -0.0417231 -0.029001 -0.0377592 -0.0581264 0.541739 
35028.jpg 0.159441 0.160437 -0.134079 0.159691 0.738364 
35049.jpg -0.290218 -0.248341 0.256301 0.296667 0.769387 
35058.jpg -0.0977496 -0.0935665 0.076644 -0.102829 0.805286 
35070.jpg 0.0198735 -0.0191534 -0.0558089 0.0226663 0.764166 
35091.jpg 0.424368 0.418746 0.418547 0.424568 0.647914 
351093.jpg 0.240877 0.227112 -0.104891 0.297075 0.75696 
353013.jpg -0.095736 0.129786 -0.149571 -0.150066 0.755962 
36046.jpg 0.321635 -0.212367 -0.0750265 0.3209 0.488354 
361010.jpg 0.00963403 -0.0398273 0.11176 0.0308145 0.472646 
361084.jpg 0.215877 0.216039 0.217415 0.214603 0.652127 
365025.jpg -0.0604886 -0.0605761 0.0438468 -0.0608749 0.922429 
365072.jpg -0.150592 -0.140682 -0.116629 -0.153128 0.938098 
365073.jpg -0.0567151 -0.0573361 -0.0557327 -0.056381 0.852756 
368016.jpg 0.130688 0.122947 -0.0493764 0.100391 0.722456 
368037.jpg 0.258669 0.206618 -0.300295 0.28388 0.884414 
368078.jpg -0.163076 -0.15038 0.178597 -0.196078 0.473275 
370036.jpg -0.114301 -0.128601 0.155877 -0.0214437 0.800508 
37073.jpg 0.323925 0.182414 0.280546 0.32444 0.640789 
372019.jpg 0.219877 0.217572 0.204707 0.094928 0.726836 
372047.jpg 0.247442 0.260367 -0.267001 0.254435 0.914926 
374020.jpg 0.0316561 0.0326178 -0.0124125 0.0323667 0.761115 
374067.jpg 0.135138 0.138634 -0.161749 0.179085 0.549045 
376001.jpg 0.0969364 0.0559803 0.0630907 0.0961325 0.576702 
376020.jpg 0.153433 0.192271 0.0439496 0.135088 0.612916 
376043.jpg 0.0152389 0.0224742 -0.101682 0.012695 0.77781 
376086.jpg -0.0623474 -0.0519826 0.0817319 -0.031003 0.696488 
